file,size_mb,vertices,triangles,animations,images,bounds
Meshy_AI_A_full_body_female_wa_0619131322_texture.glb,29.58,10969,13083,0,4,"[-0.38551899790763855, -0.9530329704284668, -0.2485319972038269] -> [0.38551899790763855, 0.949118971824646, 0.2485319972038269]"
Meshy_AI_Create_a_game_ready_s_0619130812_texture.glb,30.22,5243,5243,0,4,"[-0.7534250020980835, -0.41683000326156616, -0.9530329704284668] -> [0.7260270118713379, 0.41683000326156616, 0.9530329704284668]"
Meshy_AI_Create_a_game_ready_s_0619131236_texture.glb,31.64,22091,24745,0,4,"[-0.6712329983711243, -0.6007829904556274, -0.8003910183906555] -> [0.9530329704284668, -0.3111549913883209, 0.8003910183906555]"
Meshy_AI_Create_a_game_ready_s_0619131301_texture.glb,13.0,47371,26340,0,4,"[-1.0, -0.5851269960403442, -1.0] -> [1.0, -0.2328770011663437, 1.0]"
Meshy_AI_Create_a_game_ready_s_0619131541_texture.glb,13.0,47371,26340,0,4,"[-1.0, -0.5851269960403442, -1.0] -> [1.0, -0.2328770011663437, 1.0]"
Meshy_AI_Create_a_game_ready_s_0619134112_texture.glb,31.41,18134,19820,0,4,"[-0.5733850002288818, -0.9530329704284668, -0.6125239729881287] -> [0.5733850002288818, 0.9530329704284668, 0.6125249862670898]"
Meshy_AI_Create_a_game_ready_s_0619134305_texture.glb,26.58,15998,17604,0,4,"[-0.949118971824646, -0.43639901280403137, -0.878669023513794] -> [0.949118971824646, 0.4403130114078522, 0.866927981376648]"
Meshy_AI_Create_a_game_ready_s_0619134312_texture.glb,26.58,15998,17604,0,4,"[-0.949118971824646, -0.43639901280403137, -0.878669023513794] -> [0.949118971824646, 0.4403130114078522, 0.866927981376648]"
Meshy_AI_Garden_Glow_in_White_0619125956_texture.glb,13.27,123387,213702,0,4,"[-0.2563430070877075, -0.9505599737167358, -0.16304999589920044] -> [0.2530680000782013, 0.9482319951057434, 0.16407500207424164]"
batidere_dock.glb,23.66,5243,5243,0,4,"[-0.7534250020980835, -0.41683000326156616, -0.9530329704284668] -> [0.7260270118713379, 0.41683000326156616, 0.9530329704284668]"
stone_bridge.glb,31.26,7817,8742,0,4,"[-0.9530329704284668, -0.41683000326156616, -0.7025439739227295] -> [0.9530329704284668, 0.42074400186538696, 0.7025439739227295]"
stone_house.glb,31.74,15084,16544,0,4,"[-0.9530329704284668, -0.7534250020980835, -0.7729939818382263] -> [0.9530329704284668, 0.7651659846305847, 0.7808219790458679]"
